# This is a continuation of trace file D:\1c\Workapaces\diplom\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-28 12:51:16.822
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.846 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ТолстаяГраницаВокруг/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.846 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Roles/ЗапускТолстогоКлиента/ЗапускТолстогоКлиента.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.847 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеWebСервисыОперацииПараметры/МетаданныеWebСервисыОперацииПараметры.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.848 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/FunctionalOptions/ИспользоватьДополнительныеОтчетыИОбработки/ИспользоватьДополнительныеОтчетыИОбработки.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.848 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Roles/БазоваяФункциональностьТП/БазоваяФункциональностьТП.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.849 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Subsystems/СтандартныеПодсистемы/Subsystems/Пользователи/Пользователи.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.849 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ТипБулево/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.850 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Constants/АдресПубликацииИнформационнойБазыВЛокальнойСети/АдресПубликацииИнформационнойБазыВЛокальнойСети.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.851 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/DefinedTypes/ВладелецЗначенийКлючейДоступа/ВладелецЗначенийКлючейДоступа.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.852 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/EventSubscriptions/ЗаполнитьЗначениеРеквизитаУпорядочивания/ЗаполнитьЗначениеРеквизитаУпорядочивания.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.852 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/УровеньДоступаИспользованиеИАдминистрированиеИсточника/УровеньДоступаИспользованиеИАдминистрированиеИсточника.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.853 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ОтменитьРедактированиеМакета/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.853 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Enums/СпособыСравненияВерсийФайлов/СпособыСравненияВерсийФайлов.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.854 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/StyleItems/ГруппаВариантовОтчетовВажнаяШрифт/ГруппаВариантовОтчетовВажнаяШрифт.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.855 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ВставитьИзБуфераОбмена/ВставитьИзБуфераОбмена.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.855 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/КоллекцияДляПомеченныхНаУдалениеОбъектов/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.856 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/СостояниеПользователя11/СостояниеПользователя11.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.856 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеОбщиеКоманды/Picture.png |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.857 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ЗначокЩита/ЗначокЩита.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.857 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ГраницаВезде/ГраницаВезде.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.858 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеТабличныеЧасти/МетаданныеТабличныеЧасти.mdo |
